timestamp,frame_index,location,pedestrian_count,occupancy_ratio,mean_speed,risk_score,condition,alert
2026-08-13T08:27:59,293,CAM_01 / FULL_FRAME,11.0,0.202,39.763,48.01,CONGESTION_WARNING,YES
2026-08-13T08:27:59,294,CAM_01 / FULL_FRAME,11.0,0.202,67.647,47.69,CONGESTION_WARNING,YES
2026-08-13T08:27:59,304,CAM_01 / FULL_FRAME,12.0,0.216,36.458,52.48,CONGESTION_WARNING,YES
2026-08-13T08:27:59,315,CAM_01 / FULL_FRAME,10.0,0.257,53.465,45.96,CONGESTION_WARNING,YES
2026-08-13T08:27:59,321,CAM_01 / FULL_FRAME,9.0,0.264,26.133,47.03,CONGESTION_WARNING,YES
2026-08-13T08:28:00,322,CAM_01 / FULL_FRAME,9.0,0.265,19.233,45.23,CONGESTION_WARNING,YES
2026-08-13T08:28:00,323,CAM_01 / FULL_FRAME,9.0,0.266,23.787,45.6,CONGESTION_WARNING,YES
2026-08-13T08:28:00,324,CAM_01 / FULL_FRAME,9.0,0.271,56.761,45.21,CONGESTION_WARNING,YES
2026-08-13T08:28:00,325,CAM_01 / FULL_FRAME,9.0,0.275,55.587,45.68,CONGESTION_WARNING,YES
2026-08-13T08:28:00,337,CAM_01 / FULL_FRAME,10.0,0.263,54.026,49.24,CONGESTION_WARNING,YES
2026-08-13T08:28:00,338,CAM_01 / FULL_FRAME,10.0,0.264,34.21,50.54,CONGESTION_WARNING,YES
2026-08-13T08:28:00,339,CAM_01 / FULL_FRAME,10.0,0.25,31.721,47.1,CONGESTION_WARNING,YES
2026-08-13T08:28:00,340,CAM_01 / FULL_FRAME,11.0,0.259,13.581,51.43,CONGESTION_WARNING,YES
2026-08-13T08:28:00,341,CAM_01 / FULL_FRAME,11.0,0.261,44.232,48.89,CONGESTION_WARNING,YES
2026-08-13T08:28:00,342,CAM_01 / FULL_FRAME,11.0,0.248,72.812,48.45,CONGESTION_WARNING,YES
2026-08-13T08:28:00,343,CAM_01 / FULL_FRAME,11.0,0.261,63.668,48.01,CONGESTION_WARNING,YES
2026-08-13T08:28:00,344,CAM_01 / FULL_FRAME,12.0,0.285,58.653,52.15,CONGESTION_WARNING,YES
2026-08-13T08:28:00,345,CAM_01 / FULL_FRAME,12.0,0.289,60.747,53.12,CONGESTION_WARNING,YES
2026-08-13T08:28:00,346,CAM_01 / FULL_FRAME,12.0,0.292,23.402,61.5,CONGESTION_WARNING,YES
2026-08-13T08:28:00,347,CAM_01 / FULL_FRAME,12.0,0.295,57.593,51.63,CONGESTION_WARNING,YES
2026-08-13T08:28:00,348,CAM_01 / FULL_FRAME,11.0,0.282,95.351,48.53,CONGESTION_WARNING,YES
2026-08-13T08:28:00,349,CAM_01 / FULL_FRAME,10.0,0.282,70.299,45.94,CONGESTION_WARNING,YES
2026-08-13T08:28:00,350,CAM_01 / FULL_FRAME,11.0,0.343,71.73,50.94,CONGESTION_WARNING,YES
2026-08-13T08:28:00,351,CAM_01 / FULL_FRAME,11.0,0.367,69.672,51.66,CONGESTION_WARNING,YES
2026-08-13T08:28:01,352,CAM_01 / FULL_FRAME,11.0,0.375,24.537,56.47,CONGESTION_WARNING,YES
2026-08-13T08:28:01,353,CAM_01 / FULL_FRAME,11.0,0.378,44.671,53.53,CONGESTION_WARNING,YES
2026-08-13T08:28:01,354,CAM_01 / FULL_FRAME,12.0,0.382,82.806,54.57,CONGESTION_WARNING,YES
2026-08-13T08:28:01,355,CAM_01 / FULL_FRAME,13.0,0.394,68.993,56.24,CONGESTION_WARNING,YES
2026-08-13T08:28:01,356,CAM_01 / FULL_FRAME,13.0,0.394,49.339,56.64,CONGESTION_WARNING,YES
2026-08-13T08:28:01,357,CAM_01 / FULL_FRAME,13.0,0.384,51.574,56.31,CONGESTION_WARNING,YES
2026-08-13T08:28:01,358,CAM_01 / FULL_FRAME,13.0,0.381,25.168,58.64,CONGESTION_WARNING,YES
2026-08-13T08:28:01,359,CAM_01 / FULL_FRAME,13.0,0.382,38.272,57.11,CONGESTION_WARNING,YES
2026-08-13T08:28:01,360,CAM_01 / FULL_FRAME,12.0,0.372,66.625,53.79,CONGESTION_WARNING,YES
2026-08-13T08:28:01,361,CAM_01 / FULL_FRAME,12.0,0.385,43.419,53.88,CONGESTION_WARNING,YES
2026-08-13T08:28:01,362,CAM_01 / FULL_FRAME,12.0,0.392,40.355,51.54,CONGESTION_WARNING,YES
2026-08-13T08:28:01,363,CAM_01 / FULL_FRAME,12.0,0.396,43.486,53.69,CONGESTION_WARNING,YES
2026-08-13T08:28:01,364,CAM_01 / FULL_FRAME,12.0,0.401,19.779,55.99,CONGESTION_WARNING,YES
2026-08-13T08:28:01,365,CAM_01 / FULL_FRAME,12.0,0.404,30.471,50.38,CONGESTION_WARNING,YES
